date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:22:55	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225c1d106f-239b%22	https://portafolio-yormi.github.io/robots.txt		(from )
00:22:55	7666/7666	---M-Z	200	added ('OK')	text/html	etag:W/%225ca3ccfc-1df2%22	https://portafolio-yormi.github.io/Jins-new-york/	C:/My%20Web%20Sites/GALERIA/portafolio-yormi.github.io/Jins-new-york/index.html	(from )
00:22:55	14263/14263	---M-Z	200	added ('OK')	text/css	etag:W/%225ca3ccfc-37b7%22	https://portafolio-yormi.github.io/Jins-new-york/css/components.css	C:/My%20Web%20Sites/GALERIA/portafolio-yormi.github.io/Jins-new-york/css/components.css	(from https://portafolio-yormi.github.io/Jins-new-york/)
00:22:55	12920/12920	---M-Z	200	added ('OK')	text/css	etag:W/%225ca3ccfc-3278%22	https://portafolio-yormi.github.io/Jins-new-york/css/responsee.css	C:/My%20Web%20Sites/GALERIA/portafolio-yormi.github.io/Jins-new-york/css/responsee.css	(from https://portafolio-yormi.github.io/Jins-new-york/)
00:22:55	99678/99678	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%225ca3ccfc-1855e%22	https://portafolio-yormi.github.io/Jins-new-york/img/logo.ico	C:/My%20Web%20Sites/GALERIA/portafolio-yormi.github.io/Jins-new-york/img/logo.ico	(from https://portafolio-yormi.github.io/Jins-new-york/)
00:22:56	4163/4163	---M-Z	200	added ('OK')	text/css	etag:W/%225ca3ccfc-1043%22	https://portafolio-yormi.github.io/Jins-new-york/css/styles.css	C:/My%20Web%20Sites/GALERIA/portafolio-yormi.github.io/Jins-new-york/css/styles.css	(from https://portafolio-yormi.github.io/Jins-new-york/)
00:22:56	5921/5921	---M-Z	200	added ('OK')	text/css	etag:W/%225ca3ccfc-1721%22	https://portafolio-yormi.github.io/Jins-new-york/owl-carousel/owl.carousel.css	C:/My%20Web%20Sites/GALERIA/portafolio-yormi.github.io/Jins-new-york/owl-carousel/owl.carousel.css	(from https://portafolio-yormi.github.io/Jins-new-york/)
00:22:56	1664/1664	---M-Z	200	added ('OK')	text/css	etag:W/%225ca3ccfc-680%22	https://portafolio-yormi.github.io/Jins-new-york/owl-carousel/owl.theme.css	C:/My%20Web%20Sites/GALERIA/portafolio-yormi.github.io/Jins-new-york/owl-carousel/owl.theme.css	(from https://portafolio-yormi.github.io/Jins-new-york/)
00:22:56	93636/93636	---M-Z	200	added ('OK')	application/javascript	etag:W/%225ca3ccfc-16dc4%22	https://portafolio-yormi.github.io/Jins-new-york/js/jquery-1.8.3.min.js	C:/My%20Web%20Sites/GALERIA/portafolio-yormi.github.io/Jins-new-york/js/jquery-1.8.3.min.js	(from https://portafolio-yormi.github.io/Jins-new-york/)
00:22:57	186237/186237	---M-Z	200	added ('OK')	application/javascript	etag:W/%225ca3ccfc-2d77d%22	https://portafolio-yormi.github.io/Jins-new-york/js/jquery-ui.min.js	C:/My%20Web%20Sites/GALERIA/portafolio-yormi.github.io/Jins-new-york/js/jquery-ui.min.js	(from https://portafolio-yormi.github.io/Jins-new-york/)
00:22:57	10727/10727	---M-Z	200	added ('OK')	application/javascript	etag:W/%225ca3ccfc-29e7%22	https://portafolio-yormi.github.io/Jins-new-york/js/modernizr.js	C:/My%20Web%20Sites/GALERIA/portafolio-yormi.github.io/Jins-new-york/js/modernizr.js	(from https://portafolio-yormi.github.io/Jins-new-york/)
00:22:57	4876/4876	---M-Z	200	added ('OK')	application/javascript	etag:W/%225ca3ccfc-130c%22	https://portafolio-yormi.github.io/Jins-new-york/js/responsee.js	C:/My%20Web%20Sites/GALERIA/portafolio-yormi.github.io/Jins-new-york/js/responsee.js	(from https://portafolio-yormi.github.io/Jins-new-york/)
00:22:57	34460/34460	---M--	200	added ('OK')	image/png	etag:%225ca3ccfc-869c%22	https://portafolio-yormi.github.io/Jins-new-york/img/logo.png	C:/My%20Web%20Sites/GALERIA/portafolio-yormi.github.io/Jins-new-york/img/logo.png	(from https://portafolio-yormi.github.io/Jins-new-york/)
00:22:58	7666/7666	---M-Z	200	added ('OK')	text/html	etag:W/%225ca3ccfc-1df2%22	https://portafolio-yormi.github.io/Jins-new-york/index.html	C:/My%20Web%20Sites/GALERIA/portafolio-yormi.github.io/Jins-new-york/index-2.html	(from https://portafolio-yormi.github.io/Jins-new-york/)
00:22:58	22610/22610	---M-Z	200	added ('OK')	text/html	etag:W/%225ca3ccfc-5852%22	https://portafolio-yormi.github.io/Jins-new-york/galeria.html	C:/My%20Web%20Sites/GALERIA/portafolio-yormi.github.io/Jins-new-york/galeria.html	(from https://portafolio-yormi.github.io/Jins-new-york/)
00:22:58	7348/7348	---M-Z	200	added ('OK')	text/html	etag:W/%225ca3ccfc-1cb4%22	https://portafolio-yormi.github.io/Jins-new-york/contacto.html	C:/My%20Web%20Sites/GALERIA/portafolio-yormi.github.io/Jins-new-york/contacto.html	(from https://portafolio-yormi.github.io/Jins-new-york/)
00:22:59	70930/70930	---M--	200	added ('OK')	image/jpeg	etag:%225ca3ccfc-11512%22	https://portafolio-yormi.github.io/Jins-new-york/img/940x380.jpg	C:/My%20Web%20Sites/GALERIA/portafolio-yormi.github.io/Jins-new-york/img/940x380.jpg	(from https://portafolio-yormi.github.io/Jins-new-york/)
00:22:59	109585/109585	---M--	200	added ('OK')	image/jpeg	etag:%225ca3ccfc-1ac11%22	https://portafolio-yormi.github.io/Jins-new-york/img/940x380-2.jpg	C:/My%20Web%20Sites/GALERIA/portafolio-yormi.github.io/Jins-new-york/img/940x380-2.jpg	(from https://portafolio-yormi.github.io/Jins-new-york/)
00:23:00	112575/112575	---M--	200	added ('OK')	image/jpeg	etag:%225ca3ccfc-1b7bf%22	https://portafolio-yormi.github.io/Jins-new-york/img/940x380-1.jpg	C:/My%20Web%20Sites/GALERIA/portafolio-yormi.github.io/Jins-new-york/img/940x380-1.jpg	(from https://portafolio-yormi.github.io/Jins-new-york/)
00:23:00	75341/75341	---M--	200	added ('OK')	image/jpeg	etag:%225ca3ccfc-1264d%22	https://portafolio-yormi.github.io/Jins-new-york/img/quienes.jpg	C:/My%20Web%20Sites/GALERIA/portafolio-yormi.github.io/Jins-new-york/img/quienes.jpg	(from https://portafolio-yormi.github.io/Jins-new-york/)
00:23:00	99989/99989	---M--	200	added ('OK')	image/jpeg	etag:%225ca3ccfc-18695%22	https://portafolio-yormi.github.io/Jins-new-york/img/940x380-3.jpg	C:/My%20Web%20Sites/GALERIA/portafolio-yormi.github.io/Jins-new-york/img/940x380-3.jpg	(from https://portafolio-yormi.github.io/Jins-new-york/)
00:23:01	67000/67000	---M--	200	added ('OK')	image/jpeg	etag:%225ca3ccfc-105b8%22	https://portafolio-yormi.github.io/Jins-new-york/img/quienes-2.jpg	C:/My%20Web%20Sites/GALERIA/portafolio-yormi.github.io/Jins-new-york/img/quienes-2.jpg	(from https://portafolio-yormi.github.io/Jins-new-york/)
00:23:01	37542/37542	---M-Z	200	added ('OK')	application/javascript	etag:W/%225ca3ccfc-92a6%22	https://portafolio-yormi.github.io/Jins-new-york/owl-carousel/owl.carousel.js	C:/My%20Web%20Sites/GALERIA/portafolio-yormi.github.io/Jins-new-york/owl-carousel/owl.carousel.js	(from https://portafolio-yormi.github.io/Jins-new-york/)
00:23:01	33163/33163	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225ca3ccfc-818b%22	https://portafolio-yormi.github.io/Jins-new-york/font/mfglabsiconset-webfont.eot	C:/My%20Web%20Sites/GALERIA/portafolio-yormi.github.io/Jins-new-york/font/mfglabsiconset-webfont.eot	(from https://portafolio-yormi.github.io/Jins-new-york/css/components.css)
00:23:01	102742/102742	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225ca3ccfc-19156%22	https://portafolio-yormi.github.io/Jins-new-york/font/mfglabsiconset-webfont.svg	C:/My%20Web%20Sites/GALERIA/portafolio-yormi.github.io/Jins-new-york/font/mfglabsiconset-webfont.svg	(from https://portafolio-yormi.github.io/Jins-new-york/css/components.css)
00:23:02	33163/33163	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225ca3ccfc-818b%22	https://portafolio-yormi.github.io/Jins-new-york/font/mfglabsiconset-webfont.eot?	C:/My%20Web%20Sites/GALERIA/portafolio-yormi.github.io/Jins-new-york/font/mfglabsiconset-webfontd41d.eot	(from https://portafolio-yormi.github.io/Jins-new-york/css/components.css)
00:23:02	37584/37584	---M--	200	added ('OK')	font/woff	etag:%225ca3ccfc-92d0%22	https://portafolio-yormi.github.io/Jins-new-york/font/mfglabsiconset-webfont.woff	C:/My%20Web%20Sites/GALERIA/portafolio-yormi.github.io/Jins-new-york/font/mfglabsiconset-webfont.woff	(from https://portafolio-yormi.github.io/Jins-new-york/css/components.css)
00:23:02	55596/55596	---M--	200	added ('OK')	font/ttf	etag:%225ca3ccfc-d92c%22	https://portafolio-yormi.github.io/Jins-new-york/font/mfglabsiconset-webfont.ttf	C:/My%20Web%20Sites/GALERIA/portafolio-yormi.github.io/Jins-new-york/font/mfglabsiconset-webfont.ttf	(from https://portafolio-yormi.github.io/Jins-new-york/css/components.css)
00:23:03	187266/187266	---M--	200	added ('OK')	image/jpeg	etag:%225ca3ccfc-2db82%22	https://portafolio-yormi.github.io/Jins-new-york/img/fondo.jpg	C:/My%20Web%20Sites/GALERIA/portafolio-yormi.github.io/Jins-new-york/img/fondo.jpg	(from https://portafolio-yormi.github.io/Jins-new-york/css/styles.css)
00:23:03	116/116	---M--	200	added ('OK')	image/png	etag:%225ca3ccfc-74%22	https://portafolio-yormi.github.io/Jins-new-york/owl-carousel/grabbing.png	C:/My%20Web%20Sites/GALERIA/portafolio-yormi.github.io/Jins-new-york/owl-carousel/grabbing.png	(from https://portafolio-yormi.github.io/Jins-new-york/owl-carousel/owl.carousel.css)
00:23:03	1517/1517	---M--	200	added ('OK')	image/gif	etag:%225ca3ccfc-5ed%22	https://portafolio-yormi.github.io/Jins-new-york/owl-carousel/AjaxLoader.gif	C:/My%20Web%20Sites/GALERIA/portafolio-yormi.github.io/Jins-new-york/owl-carousel/AjaxLoader.gif	(from https://portafolio-yormi.github.io/Jins-new-york/owl-carousel/owl.theme.css)
00:23:04	20230/20230	---M-Z	200	added ('OK')	text/css	etag:W/%225ca3ccfc-4f06%22	https://portafolio-yormi.github.io/Jins-new-york/dist/css/lightgallery.css	C:/My%20Web%20Sites/GALERIA/portafolio-yormi.github.io/Jins-new-york/dist/css/lightgallery.css	(from https://portafolio-yormi.github.io/Jins-new-york/galeria.html)
00:23:04	22607/22607	---M--	200	added ('OK')	image/jpeg	etag:%225ca3ccfc-584f%22	https://portafolio-yormi.github.io/Jins-new-york/img/thumb-1.jpg	C:/My%20Web%20Sites/GALERIA/portafolio-yormi.github.io/Jins-new-york/img/thumb-1.jpg	(from https://portafolio-yormi.github.io/Jins-new-york/galeria.html)
00:23:04	27873/27873	---M--	200	added ('OK')	image/jpeg	etag:%225ca3ccfc-6ce1%22	https://portafolio-yormi.github.io/Jins-new-york/img/thumb-2.jpg	C:/My%20Web%20Sites/GALERIA/portafolio-yormi.github.io/Jins-new-york/img/thumb-2.jpg	(from https://portafolio-yormi.github.io/Jins-new-york/galeria.html)
00:23:05	24849/24849	---M--	200	added ('OK')	image/jpeg	etag:%225ca3ccfc-6111%22	https://portafolio-yormi.github.io/Jins-new-york/img/thumb-3.jpg	C:/My%20Web%20Sites/GALERIA/portafolio-yormi.github.io/Jins-new-york/img/thumb-3.jpg	(from https://portafolio-yormi.github.io/Jins-new-york/galeria.html)
00:23:05	22380/22380	---M--	200	added ('OK')	image/jpeg	etag:%225ca3ccfc-576c%22	https://portafolio-yormi.github.io/Jins-new-york/img/thumb-4.jpg	C:/My%20Web%20Sites/GALERIA/portafolio-yormi.github.io/Jins-new-york/img/thumb-4.jpg	(from https://portafolio-yormi.github.io/Jins-new-york/galeria.html)
